# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 10 8 499 0 0
10001 435 6 35 84 14
10002 145 10 398 0 0
10003 298 5 351 72 291
10004 201 5 441 81 85
10005 265 6 254 25 94
10006 156 9 230 0 0
10007 23 7 125 92 42
10008 285 3 246 72 54
10009 231 4 469 0 0
10010 475 8 5 0 0
10011 341 2 468 75 431
10012 279 1 125 0 0
10013 270 9 265 0 0
10014 107 8 9 97 2
10015 82 9 348 98 239
10016 439 3 166 0 0
10017 412 6 258 86 152
10018 193 4 21 0 0
10019 245 4 114 0 0
10020 48 5 173 59 123
10021 230 1 217 65 58
10022 270 10 408 85 312
10023 129 2 431 83 200
10024 36 9 132 0 0
10025 219 1 342 0 0
10026 349 8 280 0 0
10027 44 8 369 0 0
10028 107 10 411 83 158
10029 381 1 309 0 0
