# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 480 5 476 0 0
10001 345 7 417 91 288
10002 148 10 214 85 177
10003 495 10 443 0 0
10004 214 8 486 0 0
10005 323 6 430 11 36
10006 322 3 369 48 88
10007 89 3 188 22 118
10008 305 10 498 71 466
10009 186 4 461 0 0
10010 18 10 290 96 202
10011 187 2 401 8 123
10012 81 5 384 0 0
10013 6 5 402 86 141
10014 26 4 26 41 22
10015 340 6 340 0 0
10016 7 10 358 0 0
10017 470 10 421 4 0
10018 310 4 223 0 0
10019 414 5 492 82 43
10020 205 5 444 0 0
10021 79 3 494 0 0
10022 436 1 64 0 0
10023 108 2 497 0 0
10024 69 7 416 0 0
10025 248 4 255 64 157
10026 399 6 275 0 0
10027 366 3 157 96 6
10028 361 3 418 0 0
10029 203 8 404 0 0
