# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 117 2 217 0 0
10001 493 3 293 0 0
10002 238 2 8 0 0
10003 396 2 57 37 0
10004 17 7 327 0 0
10005 1 1 148 0 0
10006 9 3 51 0 0
10007 235 3 419 0 0
10008 57 6 148 0 0
10009 401 6 215 0 0
10010 305 7 359 0 0
10011 498 10 321 0 0
10012 444 9 211 20 184
10013 134 2 92 18 83
10014 342 10 81 79 48
10015 269 3 125 23 23
10016 449 10 194 0 0
10017 285 10 341 0 0
10018 310 1 281 0 0
10019 121 8 317 0 0
10020 34 6 470 0 0
10021 99 7 105 0 0
10022 450 7 198 0 0
10023 425 10 488 0 0
10024 416 8 309 0 0
10025 194 7 405 99 218
10026 260 6 107 91 79
10027 167 2 23 0 0
10028 337 2 432 0 0
10029 268 10 112 76 21
