# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 229 2 389 0 0
10001 202 8 351 74 295
10002 279 10 9 67 6
10003 250 10 68 0 0
10004 99 6 264 91 10
10005 89 1 120 0 0
10006 85 6 75 16 28
10007 158 3 467 65 184
10008 354 8 174 0 0
10009 481 9 298 66 1
10010 96 9 188 0 0
10011 200 1 381 0 0
10012 498 10 364 84 362
10013 23 5 371 76 49
10014 74 2 444 34 147
10015 398 6 172 0 0
10016 383 5 57 0 0
10017 222 6 340 5 250
10018 392 1 181 62 90
10019 347 8 216 0 0
10020 168 6 227 96 218
10021 320 9 434 0 0
10022 36 1 105 0 0
10023 240 3 356 0 0
10024 446 8 437 0 0
10025 175 7 465 0 0
10026 367 4 217 95 189
10027 463 2 342 0 0
10028 382 1 410 0 0
10029 440 10 498 59 485
