# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 484 1 191 64 157
10001 185 9 466 0 0
10002 67 4 476 0 0
10003 91 6 174 0 0
10004 438 9 54 70 42
10005 64 8 113 0 0
10006 194 7 126 48 122
10007 274 3 312 24 287
10008 377 9 136 58 124
10009 245 8 294 82 214
10010 339 4 78 0 0
10011 99 7 167 0 0
10012 179 8 91 0 0
10013 226 10 309 0 0
10014 232 5 326 0 0
10015 301 6 286 81 38
10016 378 3 259 0 0
10017 364 3 399 24 26
10018 115 2 107 0 0
10019 345 6 309 0 0
10020 274 8 435 23 48
10021 179 5 138 0 0
10022 206 8 414 0 0
10023 401 3 59 0 0
10024 240 2 33 0 0
10025 459 5 377 0 0
10026 282 1 171 54 13
10027 19 9 338 0 0
10028 124 7 407 0 0
10029 485 9 392 0 0
