# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 463 1 45 40 22
10001 361 9 334 0 0
10002 128 9 242 0 0
10003 214 5 365 75 322
10004 201 2 94 12 44
10005 304 7 49 18 13
10006 41 9 41 0 0
10007 272 4 219 0 0
10008 186 2 42 35 1
10009 456 6 316 0 0
10010 49 7 122 0 0
10011 382 2 291 6 204
10012 158 6 218 65 206
10013 316 10 402 74 129
10014 210 2 245 30 54
10015 246 5 254 6 181
10016 163 8 369 0 0
10017 33 5 257 75 74
10018 190 8 495 0 0
10019 53 6 401 0 0
10020 151 2 214 0 0
10021 396 4 366 34 325
10022 125 4 370 0 0
10023 158 2 13 68 9
10024 4 10 22 90 11
10025 356 3 449 46 417
10026 447 4 90 0 0
10027 336 7 391 0 0
10028 231 5 103 0 0
10029 58 1 318 55 89
