# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 472 5 311 4 189
10001 1 9 73 92 14
10002 33 4 466 0 0
10003 251 5 334 0 0
10004 360 6 382 0 0
10005 207 7 465 0 0
10006 495 10 420 19 38
10007 329 7 497 0 0
10008 159 1 253 0 0
10009 159 4 122 34 61
10010 497 7 430 90 353
10011 95 10 328 0 0
10012 85 2 353 0 0
10013 105 3 161 0 0
10014 316 2 226 0 0
10015 20 8 178 8 23
10016 96 8 79 40 38
10017 454 10 311 77 67
10018 159 10 282 0 0
10019 11 7 316 0 0
10020 391 6 268 65 268
10021 386 2 8 1 0
10022 458 10 334 0 0
10023 115 2 280 0 0
10024 26 7 268 2 14
10025 19 10 400 32 277
10026 391 4 327 60 10
10027 114 4 47 0 0
10028 299 8 287 98 55
10029 104 3 428 39 408
