# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 114 5 335 12 84
10001 378 2 348 0 0
10002 396 10 154 58 98
10003 398 2 34 60 21
10004 89 8 110 0 0
10005 348 5 380 28 184
10006 119 5 466 0 0
10007 201 1 81 43 41
10008 290 10 192 0 0
10009 118 2 163 0 0
10010 471 3 379 46 177
10011 181 4 361 53 249
10012 164 4 473 72 242
10013 339 10 133 17 8
10014 496 5 241 65 100
10015 428 10 181 0 0
10016 402 5 85 86 4
10017 416 4 405 0 0
10018 414 1 449 0 0
10019 336 5 178 96 89
10020 253 6 18 0 0
10021 215 5 24 0 0
10022 160 10 212 0 0
10023 53 6 285 0 0
10024 410 8 33 0 0
10025 102 5 428 28 95
10026 350 4 135 56 72
10027 467 2 414 19 303
10028 436 10 234 66 205
10029 240 4 316 0 0
