# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 103 5 234 0 0
10001 447 7 121 0 0
10002 103 4 49 0 0
10003 215 5 165 0 0
10004 98 8 249 96 147
10005 498 8 318 81 24
10006 335 6 67 0 0
10007 116 9 457 0 0
10008 340 10 199 0 0
10009 54 7 144 0 0
10010 353 5 7 0 0
10011 430 6 201 0 0
10012 46 9 477 80 126
10013 0 2 196 58 130
10014 436 6 385 68 16
10015 132 4 398 29 284
10016 168 5 216 31 65
10017 117 2 267 33 51
10018 15 10 315 47 33
10019 179 3 266 0 0
10020 496 3 229 94 49
10021 419 5 459 84 207
10022 277 6 171 0 0
10023 210 2 340 0 0
10024 353 2 354 49 2
10025 60 7 217 0 0
10026 220 3 395 0 0
10027 78 4 319 32 250
10028 75 1 97 17 62
10029 104 7 345 73 296
