# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 296 6 480 0 0
10001 486 9 95 0 0
10002 488 10 353 38 306
10003 378 10 462 0 0
10004 248 9 165 0 0
10005 217 3 284 0 0
10006 295 7 207 96 104
10007 426 4 133 59 67
10008 347 3 269 72 131
10009 236 8 189 32 35
10010 405 2 205 0 0
10011 499 7 472 0 0
10012 118 2 256 0 0
10013 419 7 465 0 0
10014 224 6 440 71 170
10015 7 9 454 26 196
10016 500 4 268 0 0
10017 37 5 166 0 0
10018 351 9 289 36 16
10019 73 1 175 0 0
10020 21 9 342 99 142
10021 301 3 319 0 0
10022 304 2 16 25 0
10023 187 7 405 79 277
10024 210 9 184 39 80
10025 344 6 368 71 153
10026 434 4 181 50 139
10027 19 3 307 30 278
10028 260 4 492 0 0
10029 7 10 437 0 0
