# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 37 7 122 84 72
10001 170 10 2 0 0
10002 380 10 90 79 43
10003 361 8 243 0 0
10004 376 8 194 0 0
10005 10 10 437 0 0
10006 245 10 69 93 47
10007 426 6 92 1 83
10008 328 10 160 37 107
10009 252 10 424 0 0
10010 431 9 490 38 86
10011 46 1 496 0 0
10012 328 1 377 61 226
10013 56 4 236 0 0
10014 311 3 380 84 222
10015 42 5 324 0 0
10016 128 3 355 89 117
10017 441 9 331 76 310
10018 235 1 275 36 92
10019 328 1 361 74 115
10020 233 3 489 68 283
10021 186 9 112 0 0
10022 259 4 220 73 23
10023 493 2 264 47 117
10024 308 6 447 0 0
10025 168 1 170 0 0
10026 275 3 265 0 0
10027 141 10 288 44 209
10028 32 5 210 90 127
10029 191 2 57 0 0
