# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 275 1 123 55 59
10001 431 1 458 89 364
10002 196 2 448 0 0
10003 330 10 264 30 119
10004 220 1 197 73 63
10005 412 7 475 77 49
10006 192 6 341 0 0
10007 187 10 188 0 0
10008 500 10 291 1 60
10009 119 7 447 60 96
10010 382 10 57 44 49
10011 404 10 500 7 186
10012 287 3 494 0 0
10013 349 9 136 75 12
10014 357 8 468 22 241
10015 73 1 364 0 0
10016 225 4 282 0 0
10017 70 1 310 0 0
10018 185 1 426 39 223
10019 399 5 382 83 299
10020 420 2 158 60 105
10021 347 6 196 0 0
10022 235 7 454 59 170
10023 412 2 207 0 0
10024 495 10 335 0 0
10025 144 8 273 94 53
10026 195 3 349 59 294
10027 38 3 203 0 0
10028 32 5 81 0 0
10029 72 1 129 0 0
