# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 495 4 376 35 39
10001 128 2 448 53 415
10002 325 6 70 10 31
10003 7 2 147 7 31
10004 163 5 16 0 0
10005 428 5 148 0 0
10006 21 7 181 91 26
10007 98 2 108 85 0
10008 327 2 428 0 0
10009 463 10 33 16 11
10010 404 2 137 0 0
10011 39 6 196 0 0
10012 65 10 174 70 80
10013 155 5 461 0 0
10014 288 9 481 51 128
10015 493 1 451 75 214
10016 111 1 54 58 2
10017 493 7 181 71 149
10018 93 9 303 0 0
10019 476 4 438 0 0
10020 474 4 86 0 0
10021 416 6 224 34 106
10022 96 5 298 0 0
10023 231 8 322 31 46
10024 292 4 190 57 176
10025 70 1 253 35 102
10026 91 6 369 40 311
10027 18 5 392 0 0
10028 396 10 360 71 126
10029 141 4 63 70 43
