# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 286 1 3 24 3
10001 257 3 130 68 10
10002 226 6 480 0 0
10003 176 7 116 0 0
10004 439 4 226 0 0
10005 142 4 19 0 0
10006 221 10 282 43 176
10007 179 2 294 40 51
10008 437 1 2 0 0
10009 60 1 412 0 0
10010 167 5 33 89 25
10011 463 4 220 0 0
10012 154 4 71 80 35
10013 208 5 123 48 76
10014 174 9 77 40 42
10015 4 7 364 0 0
10016 464 7 274 0 0
10017 495 10 211 0 0
10018 39 2 304 16 276
10019 130 4 140 0 0
10020 200 2 23 0 0
10021 78 10 51 0 0
10022 325 6 409 0 0
10023 429 2 446 69 115
10024 267 4 483 0 0
10025 197 5 102 0 0
10026 122 2 320 55 231
10027 453 1 98 0 0
10028 143 6 371 71 254
10029 178 3 354 6 235
