# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 191 8 355 0 0
10001 298 1 303 75 259
10002 194 9 15 0 0
10003 458 3 207 70 70
10004 4 6 442 0 0
10005 348 2 113 0 0
10006 107 3 298 0 0
10007 272 5 229 52 218
10008 120 2 446 8 7
10009 80 3 492 0 0
10010 242 3 132 57 33
10011 330 4 182 74 160
10012 29 7 237 0 0
10013 427 2 265 47 218
10014 251 3 474 0 0
10015 120 3 301 86 130
10016 51 9 237 0 0
10017 475 9 139 30 49
10018 391 9 389 0 0
10019 115 6 176 0 0
10020 49 9 18 0 0
10021 126 5 285 14 216
10022 391 3 284 0 0
10023 16 4 34 23 21
10024 466 6 340 0 0
10025 370 6 171 78 119
10026 355 8 115 92 99
10027 35 8 130 11 31
10028 417 8 25 67 7
10029 94 8 214 0 0
