# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 62 5 340 0 0
10001 303 9 65 87 3
10002 127 9 291 97 50
10003 327 9 488 0 0
10004 203 4 367 89 78
10005 446 3 143 0 0
10006 161 5 461 0 0
10007 401 3 11 0 0
10008 491 4 61 87 54
10009 63 5 58 19 34
10010 298 7 463 75 458
10011 62 9 184 0 0
10012 482 9 242 96 137
10013 97 5 213 52 189
10014 314 5 384 0 0
10015 69 3 68 0 0
10016 159 8 447 33 35
10017 290 1 427 42 329
10018 408 2 183 0 0
10019 364 1 303 0 0
10020 309 7 147 0 0
10021 345 7 374 70 361
10022 304 10 86 34 25
10023 149 7 154 20 0
10024 187 6 23 4 2
10025 198 5 473 0 0
10026 53 3 79 0 0
10027 162 4 354 0 0
10028 249 2 320 0 0
10029 71 4 145 61 15
