# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 19 2 464 51 249
10001 129 7 491 0 0
10002 469 4 498 9 399
10003 225 5 7 0 0
10004 87 2 435 0 0
10005 46 2 163 82 32
10006 250 7 184 0 0
10007 47 2 191 0 0
10008 56 8 498 0 0
10009 2 9 359 54 78
10010 355 4 146 0 0
10011 500 9 31 42 23
10012 233 8 245 26 142
10013 170 10 33 0 0
10014 283 9 107 0 0
10015 121 4 258 0 0
10016 196 10 81 11 26
10017 424 8 359 13 108
10018 317 6 363 90 164
10019 20 9 426 90 174
10020 325 3 319 80 242
10021 341 1 381 0 0
10022 476 8 437 0 0
10023 440 4 389 3 354
10024 261 1 254 0 0
10025 455 2 43 0 0
10026 16 6 80 89 58
10027 306 5 200 90 81
10028 117 2 279 0 0
10029 364 4 294 0 0
