# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 19 8 413 0 0
10001 93 9 56 29 5
10002 71 9 290 54 91
10003 493 4 178 60 26
10004 196 5 250 74 202
10005 7 5 267 85 101
10006 3 1 184 14 112
10007 455 2 6 0 0
10008 55 8 44 0 0
10009 187 7 114 0 0
10010 195 10 83 0 0
10011 47 4 230 0 0
10012 398 10 109 0 0
10013 84 2 164 0 0
10014 438 1 238 0 0
10015 96 8 491 16 360
10016 413 10 281 0 0
10017 177 3 43 1 15
10018 474 3 281 0 0
10019 136 8 273 0 0
10020 40 4 179 12 139
10021 437 6 445 0 0
10022 67 1 69 99 26
10023 138 8 352 62 324
10024 210 7 280 0 0
10025 61 2 498 44 132
10026 478 4 320 0 0
10027 186 6 237 9 1
10028 49 8 139 0 0
10029 232 10 49 0 0
