# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 437 1 102 0 0
10001 286 1 105 65 5
10002 69 6 49 89 39
10003 224 5 398 49 42
10004 43 8 478 0 0
10005 276 6 156 0 0
10006 356 8 96 61 83
10007 264 2 255 0 0
10008 132 8 249 6 43
10009 105 3 417 61 225
10010 323 3 305 32 58
10011 370 9 416 0 0
10012 431 5 118 100 0
10013 71 2 219 65 40
10014 169 7 64 3 42
10015 33 9 386 0 0
10016 112 2 117 87 77
10017 59 5 411 90 388
10018 406 6 21 42 17
10019 316 5 323 60 241
10020 224 9 120 0 0
10021 101 5 7 0 0
10022 364 9 204 0 0
10023 458 7 15 34 8
10024 91 8 291 0 0
10025 240 6 49 24 23
10026 277 2 217 0 0
10027 37 9 47 4 28
10028 404 1 115 0 0
10029 304 5 45 68 18
