# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 472 1 81 48 54
10001 164 6 177 67 147
10002 275 2 374 19 89
10003 104 9 22 0 0
10004 188 4 410 0 0
10005 424 10 404 28 140
10006 362 3 189 0 0
10007 301 10 97 0 0
10008 151 2 436 28 338
10009 293 6 458 0 0
10010 388 5 494 31 7
10011 54 3 335 0 0
10012 457 1 114 51 45
10013 446 6 436 0 0
10014 158 10 38 15 25
10015 273 10 307 65 69
10016 437 3 396 56 171
10017 367 5 133 23 108
10018 465 10 356 29 121
10019 323 2 286 0 0
10020 84 9 67 60 23
10021 329 5 156 0 0
10022 285 3 192 49 145
10023 404 7 230 0 0
10024 188 1 89 0 0
10025 81 7 337 74 281
10026 364 1 384 46 147
10027 354 8 60 20 52
10028 186 1 158 0 0
10029 491 10 23 0 0
