# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 31 4 72 0 0
10001 211 3 87 0 0
10002 342 8 417 0 0
10003 253 5 138 0 0
10004 490 7 464 0 0
10005 250 7 36 70 28
10006 499 3 73 0 0
10007 266 3 410 0 0
10008 306 9 448 0 0
10009 319 5 79 87 66
10010 22 7 412 40 83
10011 260 6 105 99 86
10012 475 1 149 75 89
10013 352 1 429 0 0
10014 395 7 222 94 125
10015 137 3 76 0 0
10016 102 1 309 71 137
10017 34 4 191 40 47
10018 275 5 24 0 0
10019 402 9 387 82 336
10020 411 3 361 12 212
10021 283 9 482 33 364
10022 464 10 70 76 32
10023 428 5 57 46 32
10024 286 1 469 0 0
10025 50 3 458 100 383
10026 73 8 252 58 175
10027 61 5 413 0 0
10028 265 10 132 0 0
10029 434 8 411 11 250
