# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 159 7 463 0 0
10001 2 7 358 0 0
10002 23 3 412 0 0
10003 165 10 243 22 16
10004 467 9 174 0 0
10005 480 1 438 55 46
10006 491 6 437 70 348
10007 188 7 72 0 0
10008 11 6 177 0 0
10009 370 7 474 75 170
10010 281 5 219 47 167
10011 60 9 155 0 0
10012 309 2 441 0 0
10013 410 2 256 29 8
10014 252 10 329 55 230
10015 307 1 397 31 35
10016 200 9 67 80 21
10017 62 2 265 64 75
10018 209 10 195 51 171
10019 320 8 293 48 33
10020 37 7 255 0 0
10021 310 4 301 0 0
10022 480 3 227 96 149
10023 394 4 271 0 0
10024 179 4 478 25 344
10025 179 8 261 37 183
10026 259 6 405 81 339
10027 330 10 250 75 11
10028 389 3 364 0 0
10029 318 4 383 0 0
