# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 268 10 179 92 177
10001 500 4 256 0 0
10002 40 3 323 0 0
10003 309 5 273 64 49
10004 362 3 157 98 143
10005 220 7 120 0 0
10006 8 5 107 34 86
10007 424 6 310 48 253
10008 292 4 88 41 51
10009 221 3 362 0 0
10010 238 5 218 97 30
10011 295 5 300 0 0
10012 284 4 294 94 243
10013 1 7 43 73 11
10014 84 6 413 0 0
10015 433 10 233 0 0
10016 260 6 392 0 0
10017 268 7 400 0 0
10018 320 8 70 0 0
10019 111 6 421 100 367
10020 212 7 222 0 0
10021 407 8 69 0 0
10022 421 8 155 0 0
10023 470 9 19 0 0
10024 8 8 149 46 93
10025 360 4 52 0 0
10026 334 2 479 11 475
10027 128 6 115 0 0
10028 200 8 433 0 0
10029 377 9 67 0 0
