# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 100 6 203 67 164
10001 178 1 29 0 0
10002 57 1 188 0 0
10003 340 8 4 53 4
10004 284 3 425 98 380
10005 378 4 425 13 136
10006 290 10 81 10 7
10007 262 4 457 0 0
10008 158 6 213 0 0
10009 76 2 275 73 132
10010 197 10 5 64 1
10011 90 2 251 52 144
10012 346 3 153 5 103
10013 249 4 58 42 10
10014 183 10 76 40 26
10015 58 2 357 19 298
10016 449 8 443 60 176
10017 281 3 226 0 0
10018 359 9 213 0 0
10019 214 3 171 0 0
10020 204 2 363 0 0
10021 244 10 135 0 0
10022 281 7 228 50 113
10023 324 9 2 89 0
10024 467 1 142 4 69
10025 91 10 54 0 0
10026 413 8 388 53 295
10027 124 8 435 11 199
10028 299 1 268 10 216
10029 282 3 117 0 0
