# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 305 6 150 88 21
10001 185 4 130 94 40
10002 81 4 275 96 58
10003 59 4 439 0 0
10004 319 3 143 49 27
10005 293 10 393 66 354
10006 324 4 29 70 12
10007 30 6 9 29 3
10008 175 7 287 0 0
10009 433 3 56 88 39
10010 243 4 248 0 0
10011 168 2 30 26 15
10012 358 2 271 0 0
10013 278 8 440 0 0
10014 478 1 324 0 0
10015 144 3 488 0 0
10016 235 8 406 35 91
10017 9 9 385 47 57
10018 390 5 79 90 64
10019 298 2 109 0 0
10020 150 1 265 37 45
10021 376 8 56 0 0
10022 353 5 493 0 0
10023 445 7 34 0 0
10024 175 9 74 0 0
10025 180 7 141 78 38
10026 271 1 469 0 0
10027 18 6 411 0 0
10028 414 2 264 12 119
10029 82 2 230 34 195
