# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 350 10 329 37 10
10001 135 7 466 0 0
10002 405 6 46 0 0
10003 497 7 121 33 89
10004 388 4 297 2 292
10005 206 8 272 38 168
10006 65 6 476 5 340
10007 8 10 75 69 52
10008 235 9 292 70 6
10009 46 10 277 0 0
10010 178 10 202 0 0
10011 281 2 474 99 225
10012 487 10 82 0 0
10013 295 1 443 40 2
10014 49 6 218 0 0
10015 457 2 410 0 0
10016 79 6 388 45 347
10017 429 6 499 62 403
10018 361 5 339 23 278
10019 129 8 447 10 404
10020 33 9 140 52 0
10021 451 4 45 0 0
10022 435 8 385 45 70
10023 310 9 51 72 47
10024 457 5 428 0 0
10025 445 7 283 0 0
10026 102 7 417 0 0
10027 430 2 56 64 31
10028 142 5 269 2 209
10029 109 10 197 88 122
