# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 309 6 19 75 13
10001 181 7 298 22 222
10002 148 2 4 0 0
10003 188 10 311 0 0
10004 252 8 18 8 16
10005 1 6 477 0 0
10006 281 5 366 0 0
10007 218 7 4 0 0
10008 309 7 103 0 0
10009 315 9 427 55 44
10010 111 9 270 9 95
10011 420 5 225 73 7
10012 244 4 277 74 35
10013 433 10 264 0 0
10014 370 9 291 16 85
10015 469 3 306 86 284
10016 53 4 436 0 0
10017 22 5 337 93 313
10018 80 7 396 0 0
10019 225 6 189 32 76
10020 246 7 402 67 318
10021 52 6 438 28 372
10022 163 1 436 43 238
10023 262 9 351 0 0
10024 36 2 36 0 0
10025 116 8 452 0 0
10026 83 6 362 47 137
10027 242 1 409 0 0
10028 212 10 209 0 0
10029 352 9 217 0 0
