# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 348 1 277 71 195
10001 225 9 360 37 353
10002 1 7 78 0 0
10003 258 10 261 0 0
10004 77 4 45 0 0
10005 102 1 24 52 1
10006 476 9 436 81 72
10007 276 2 136 60 104
10008 71 5 213 0 0
10009 113 7 43 1 26
10010 421 1 234 0 0
10011 333 6 160 66 89
10012 171 5 422 0 0
10013 316 10 50 72 12
10014 201 10 264 62 192
10015 489 3 265 94 244
10016 200 2 280 66 184
10017 128 7 204 0 0
10018 314 6 318 3 71
10019 281 9 158 0 0
10020 308 10 492 89 71
10021 204 9 77 23 67
10022 230 4 325 0 0
10023 428 9 6 0 0
10024 481 10 252 0 0
10025 482 4 458 0 0
10026 383 5 33 77 20
10027 114 10 99 0 0
10028 437 5 297 89 294
10029 482 6 22 0 0
