# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 459 5 35 0 0
10001 26 3 403 0 0
10002 177 1 141 0 0
10003 175 5 247 45 161
10004 210 9 315 100 264
10005 143 9 244 70 218
10006 297 8 476 33 37
10007 41 5 324 64 72
10008 206 5 11 0 0
10009 485 6 209 41 147
10010 148 4 20 0 0
10011 40 7 299 0 0
10012 312 1 126 0 0
10013 397 8 111 15 19
10014 451 8 222 30 44
10015 228 6 137 0 0
10016 410 4 197 0 0
10017 18 5 32 0 0
10018 162 2 332 16 230
10019 437 4 8 63 7
10020 368 2 145 0 0
10021 96 3 343 72 132
10022 57 8 176 96 146
10023 83 9 431 0 0
10024 401 3 243 10 66
10025 300 4 252 35 155
10026 433 10 195 0 0
10027 484 8 132 0 0
10028 461 8 41 72 19
10029 93 5 137 0 0
