# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 446 1 347 0 0
10001 370 9 462 0 0
10002 374 7 8 0 0
10003 117 2 43 87 1
10004 273 4 317 0 0
10005 241 4 319 0 0
10006 192 9 371 94 116
10007 492 8 315 10 60
10008 317 3 173 60 39
10009 425 1 480 0 0
10010 289 9 85 33 59
10011 122 9 84 0 0
10012 170 4 172 0 0
10013 193 9 27 0 0
10014 81 9 397 22 296
10015 318 3 185 0 0
10016 398 4 171 36 150
10017 422 7 379 0 0
10018 306 1 443 0 0
10019 276 3 434 65 111
10020 458 1 471 0 0
10021 476 1 423 36 257
10022 465 5 343 78 33
10023 168 3 133 0 0
10024 242 5 351 0 0
10025 468 4 389 19 72
10026 299 6 144 0 0
10027 189 10 407 96 267
10028 110 1 178 69 22
10029 422 4 444 0 0
