# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 420 8 218 0 0
10001 275 9 403 95 216
10002 273 7 211 0 0
10003 141 9 87 0 0
10004 159 3 25 74 3
10005 3 7 446 18 75
10006 2 2 367 13 127
10007 67 9 234 0 0
10008 100 2 275 0 0
10009 0 7 392 0 0
10010 62 8 197 0 0
10011 257 9 119 0 0
10012 444 6 31 6 14
10013 402 9 442 0 0
10014 86 3 256 50 91
10015 329 9 229 0 0
10016 262 3 288 0 0
10017 149 2 364 6 169
10018 150 8 200 47 129
10019 440 3 257 0 0
10020 20 10 301 0 0
10021 0 5 346 0 0
10022 448 7 357 0 0
10023 307 4 235 0 0
10024 186 5 73 46 5
10025 492 4 230 98 99
10026 27 10 67 88 65
10027 37 6 248 13 52
10028 55 7 83 0 0
10029 235 3 113 94 60
