# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 418 4 210 0 0
10001 44 5 33 0 0
10002 455 2 478 15 82
10003 477 9 440 0 0
10004 196 2 187 0 0
10005 177 10 331 0 0
10006 416 5 66 0 0
10007 367 1 466 0 0
10008 16 6 184 80 163
10009 18 7 127 8 52
10010 173 7 135 66 84
10011 251 9 301 19 156
10012 118 5 490 2 142
10013 350 3 68 0 0
10014 485 7 494 28 296
10015 311 10 25 73 15
10016 467 7 399 33 277
10017 466 2 265 39 154
10018 162 5 50 0 0
10019 91 5 351 0 0
10020 411 5 405 18 357
10021 254 5 255 50 240
10022 261 10 57 92 12
10023 340 3 472 0 0
10024 136 2 366 0 0
10025 174 6 97 0 0
10026 413 1 472 0 0
10027 72 1 282 98 72
10028 250 5 417 0 0
10029 344 2 109 0 0
