# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 271 2 11 0 0
10001 387 3 95 0 0
10002 310 6 89 0 0
10003 257 1 354 0 0
10004 465 9 75 55 28
10005 422 2 357 84 77
10006 63 1 280 0 0
10007 134 1 126 0 0
10008 40 10 351 75 111
10009 202 1 237 8 196
10010 227 9 245 0 0
10011 433 4 272 14 232
10012 267 4 363 69 270
10013 425 5 335 55 64
10014 485 2 484 0 0
10015 202 5 445 0 0
10016 16 2 153 20 61
10017 187 4 393 0 0
10018 459 6 58 0 0
10019 432 9 283 69 210
10020 239 8 267 45 165
10021 169 1 254 0 0
10022 271 6 230 42 150
10023 287 9 44 0 0
10024 170 7 249 0 0
10025 66 1 28 0 0
10026 319 1 238 58 201
10027 361 5 279 69 65
10028 120 9 6 0 0
10029 55 3 420 0 0
