# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 79 1 65 0 0
10001 307 8 432 0 0
10002 330 2 11 0 0
10003 495 8 287 0 0
10004 248 2 30 74 16
10005 240 5 70 0 0
10006 323 6 56 79 31
10007 374 9 429 39 303
10008 65 6 450 36 362
10009 426 3 148 59 47
10010 286 7 18 60 9
10011 442 4 331 0 0
10012 137 8 152 44 102
10013 380 5 481 31 475
10014 253 8 246 93 56
10015 336 3 316 0 0
10016 432 8 114 16 70
10017 396 6 496 25 135
10018 265 10 114 62 51
10019 254 1 134 38 70
10020 349 2 313 2 176
10021 46 8 414 73 306
10022 358 9 30 95 8
10023 303 10 372 0 0
10024 120 7 189 3 80
10025 242 6 138 18 39
10026 464 10 5 0 0
10027 286 2 496 9 113
10028 216 6 94 0 0
10029 423 8 46 0 0
