# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 342 1 412 0 0
10001 189 2 486 55 320
10002 346 3 478 0 0
10003 140 10 121 64 106
10004 330 1 472 26 470
10005 8 5 422 0 0
10006 164 8 34 0 0
10007 321 10 159 91 154
10008 110 3 398 41 90
10009 449 2 183 0 0
10010 18 10 197 65 165
10011 12 3 458 0 0
10012 472 7 277 44 240
10013 286 5 151 47 134
10014 199 2 324 0 0
10015 273 8 87 0 0
10016 189 8 448 81 22
10017 176 1 367 0 0
10018 255 6 363 41 83
10019 470 8 15 73 4
10020 86 5 426 19 123
10021 195 2 151 3 97
10022 349 9 236 6 93
10023 142 7 330 67 93
10024 37 3 25 95 22
10025 127 6 17 79 11
10026 153 2 15 59 14
10027 123 9 24 0 0
10028 356 1 212 0 0
10029 481 4 118 61 106
