# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 148 10 440 0 0
10001 154 5 40 19 31
10002 144 10 335 79 312
10003 354 4 220 30 114
10004 160 3 409 0 0
10005 174 6 194 19 153
10006 192 8 6 58 5
10007 44 1 256 88 160
10008 310 8 137 51 134
10009 249 2 353 84 117
10010 118 2 335 0 0
10011 115 9 367 91 72
10012 379 6 91 91 21
10013 112 3 191 6 110
10014 354 10 281 16 180
10015 14 2 358 0 0
10016 14 4 142 0 0
10017 105 5 233 38 147
10018 484 3 330 0 0
10019 82 4 246 0 0
10020 282 7 248 67 237
10021 375 6 193 23 132
10022 489 6 390 88 279
10023 183 6 104 38 15
10024 156 1 489 57 178
10025 421 3 494 96 272
10026 7 8 208 0 0
10027 90 6 33 23 17
10028 478 2 193 63 70
10029 42 9 311 77 98
