# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 425 2 497 3 286
10001 348 3 180 0 0
10002 333 10 443 8 192
10003 435 6 16 40 11
10004 82 9 365 86 169
10005 20 1 48 0 0
10006 135 2 122 0 0
10007 106 7 233 0 0
10008 89 10 7 33 2
10009 385 5 361 73 335
10010 308 10 113 8 88
10011 403 7 321 78 148
10012 252 8 258 0 0
10013 5 9 100 31 34
10014 73 6 315 24 238
10015 20 5 320 71 135
10016 480 9 227 13 211
10017 435 10 195 2 188
10018 124 3 236 0 0
10019 420 1 469 0 0
10020 222 2 231 0 0
10021 135 1 219 35 75
10022 122 4 436 0 0
10023 64 8 199 0 0
10024 277 4 67 65 52
10025 255 4 322 16 209
10026 212 1 101 69 101
10027 57 2 99 45 49
10028 417 3 328 0 0
10029 423 1 264 0 0
