# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 291 9 426 86 89
10001 372 4 431 0 0
10002 481 6 279 14 119
10003 290 3 417 0 0
10004 32 8 368 0 0
10005 498 1 51 0 0
10006 162 4 21 34 3
10007 311 7 384 19 97
10008 139 8 464 0 0
10009 395 10 483 100 232
10010 344 10 221 34 124
10011 366 5 53 2 18
10012 484 7 321 0 0
10013 248 10 125 0 0
10014 95 1 293 17 187
10015 293 5 443 0 0
10016 417 4 432 79 266
10017 31 9 407 0 0
10018 269 2 391 70 256
10019 347 4 116 0 0
10020 32 10 345 0 0
10021 318 1 445 0 0
10022 445 8 207 4 49
10023 182 10 21 0 0
10024 485 7 451 76 295
10025 45 1 494 95 188
10026 367 8 223 0 0
10027 347 1 452 51 329
10028 494 3 14 44 12
10029 399 1 332 56 51
