# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 74 9 419 72 170
10001 459 6 260 94 101
10002 129 1 494 23 295
10003 317 2 162 100 162
10004 238 6 66 63 6
10005 300 3 177 0 0
10006 307 8 104 0 0
10007 161 1 292 0 0
10008 381 3 435 16 424
10009 98 4 155 93 9
10010 333 6 340 0 0
10011 151 3 161 0 0
10012 256 10 351 0 0
10013 30 5 232 0 0
10014 377 2 139 0 0
10015 496 4 122 0 0
10016 473 3 311 65 254
10017 134 3 293 0 0
10018 30 10 144 86 88
10019 55 10 301 40 289
10020 140 5 105 0 0
10021 204 10 341 49 250
10022 401 2 360 0 0
10023 381 8 303 64 131
10024 66 4 118 0 0
10025 53 2 133 0 0
10026 380 7 30 0 0
10027 310 1 467 0 0
10028 451 1 43 0 0
10029 159 10 456 34 132
