# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 99 6 3 67 0
10001 270 3 478 61 382
10002 114 6 376 0 0
10003 0 1 339 0 0
10004 91 2 365 0 0
10005 17 7 440 0 0
10006 25 2 36 75 16
10007 143 10 287 0 0
10008 425 10 39 0 0
10009 103 3 438 27 176
10010 269 9 81 0 0
10011 169 7 304 0 0
10012 13 4 129 0 0
10013 371 8 125 38 104
10014 128 1 347 0 0
10015 52 5 329 0 0
10016 429 6 488 11 38
10017 101 8 415 0 0
10018 104 4 34 83 16
10019 161 2 404 0 0
10020 280 4 402 46 248
10021 287 3 197 7 130
10022 490 4 119 0 0
10023 304 6 297 0 0
10024 184 6 203 0 0
10025 184 2 254 89 167
10026 65 8 198 29 68
10027 25 2 137 55 132
10028 3 3 427 25 153
10029 100 10 318 53 177
