# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 318 8 13 0 0
10001 148 9 64 0 0
10002 387 6 195 0 0
10003 344 4 414 100 222
10004 131 4 149 20 78
10005 267 3 75 0 0
10006 199 7 258 0 0
10007 294 4 480 0 0
10008 286 4 393 80 69
10009 400 10 294 91 21
10010 52 2 154 0 0
10011 324 6 244 79 39
10012 435 3 237 0 0
10013 74 9 403 0 0
10014 112 6 268 0 0
10015 10 10 220 0 0
10016 101 3 415 0 0
10017 157 10 402 0 0
10018 93 10 346 0 0
10019 328 7 399 61 51
10020 317 6 194 0 0
10021 365 4 139 0 0
10022 246 10 451 10 41
10023 429 1 148 34 74
10024 159 6 325 78 59
10025 284 8 51 0 0
10026 38 4 239 0 0
10027 409 1 439 91 361
10028 243 5 401 55 45
10029 181 5 320 27 257
