# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 75 1 124 54 83
10001 331 2 104 22 53
10002 242 10 163 0 0
10003 36 2 207 0 0
10004 137 5 130 89 5
10005 212 8 431 47 122
10006 433 8 342 63 215
10007 363 2 115 67 32
10008 376 8 292 69 276
10009 62 6 251 100 41
10010 184 6 471 0 0
10011 152 6 242 0 0
10012 286 4 316 83 143
10013 296 9 290 20 137
10014 32 3 217 0 0
10015 183 4 82 0 0
10016 386 7 210 0 0
10017 207 9 444 46 22
10018 437 7 462 27 319
10019 212 1 292 4 82
10020 134 3 453 38 353
10021 430 3 329 96 280
10022 417 1 221 0 0
10023 464 10 258 0 0
10024 450 8 361 0 0
10025 102 2 284 43 159
10026 217 5 217 0 0
10027 69 1 455 0 0
10028 81 9 178 43 34
10029 273 6 303 12 147
