# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 99 2 447 33 181
10001 303 7 365 0 0
10002 272 1 304 0 0
10003 172 7 395 21 278
10004 31 7 402 0 0
10005 237 7 167 25 1
10006 162 1 487 0 0
10007 128 2 226 0 0
10008 107 4 324 63 171
10009 76 2 294 2 128
10010 369 2 301 0 0
10011 211 7 441 0 0
10012 169 10 237 4 39
10013 6 3 415 0 0
10014 231 9 457 12 297
10015 38 7 267 0 0
10016 14 8 58 52 44
10017 350 5 128 0 0
10018 302 6 361 0 0
10019 49 2 290 0 0
10020 165 9 82 0 0
10021 296 7 59 0 0
10022 489 1 203 0 0
10023 493 9 102 2 2
10024 491 10 160 0 0
10025 74 1 75 73 2
10026 268 5 485 31 397
10027 345 4 324 2 13
10028 20 8 443 11 282
10029 410 3 54 6 20
