# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 261 8 208 38 108
10001 154 1 201 0 0
10002 232 3 388 97 120
10003 348 8 111 45 2
10004 175 10 431 0 0
10005 154 6 492 77 344
10006 117 3 288 0 0
10007 235 2 345 43 305
10008 347 5 192 85 66
10009 405 4 163 61 153
10010 357 9 368 0 0
10011 446 9 133 0 0
10012 418 5 458 0 0
10013 452 2 295 0 0
10014 363 7 345 81 217
10015 481 5 242 54 84
10016 119 7 161 18 108
10017 481 10 132 0 0
10018 353 6 156 33 49
10019 439 1 476 0 0
10020 449 5 436 42 276
10021 342 2 18 23 14
10022 293 7 448 94 198
10023 125 4 157 0 0
10024 407 8 435 89 151
10025 114 7 287 76 152
10026 393 8 392 0 0
10027 287 7 241 0 0
10028 489 6 120 19 56
10029 206 8 434 0 0
