# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 487 7 473 0 0
10001 330 1 96 0 0
10002 35 9 402 0 0
10003 458 7 493 4 22
10004 433 7 456 45 41
10005 457 10 143 0 0
10006 188 3 493 0 0
10007 327 9 110 62 81
10008 324 8 100 0 0
10009 218 3 345 94 237
10010 12 8 151 35 44
10011 161 8 177 61 2
10012 230 8 391 0 0
10013 393 4 347 19 57
10014 314 5 402 0 0
10015 256 2 188 30 140
10016 90 1 464 67 371
10017 358 2 347 79 273
10018 108 1 264 0 0
10019 94 3 46 0 0
10020 330 7 486 0 0
10021 244 2 271 0 0
10022 54 1 64 7 46
10023 268 2 281 96 205
10024 150 3 342 0 0
10025 282 9 201 85 33
10026 11 6 42 63 23
10027 335 9 248 25 63
10028 221 6 474 86 266
10029 493 1 250 73 116
