# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 6 2 467 63 107
10001 293 6 42 0 0
10002 468 6 145 17 98
10003 279 6 224 49 114
10004 396 9 342 0 0
10005 378 5 346 27 168
10006 85 5 357 76 340
10007 485 10 1 0 0
10008 183 9 23 57 23
10009 362 7 463 0 0
10010 247 10 414 3 155
10011 34 2 313 0 0
10012 487 9 476 0 0
10013 1 3 26 37 23
10014 216 7 212 0 0
10015 11 10 443 53 84
10016 192 4 401 85 330
10017 403 9 52 0 0
10018 224 1 173 0 0
10019 206 5 170 33 87
10020 22 4 156 93 48
10021 19 6 76 31 59
10022 76 3 241 0 0
10023 173 7 429 0 0
10024 302 3 346 37 273
10025 83 5 319 59 105
10026 401 8 102 0 0
10027 392 6 384 0 0
10028 150 4 454 0 0
10029 152 4 176 0 0
