# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 317 6 186 20 141
10001 86 1 244 0 0
10002 492 2 330 0 0
10003 99 8 375 90 275
10004 426 1 335 0 0
10005 176 4 48 71 47
10006 127 9 58 0 0
10007 276 5 48 0 0
10008 206 6 237 17 125
10009 78 2 144 0 0
10010 40 6 277 21 198
10011 337 2 52 94 21
10012 418 9 72 11 71
10013 342 9 88 70 37
10014 64 2 286 0 0
10015 33 8 121 0 0
10016 177 9 102 0 0
10017 118 7 386 0 0
10018 316 6 55 0 0
10019 328 5 103 0 0
10020 357 8 360 0 0
10021 444 6 500 32 207
10022 400 2 465 49 324
10023 78 9 393 94 330
10024 488 9 434 0 0
10025 207 3 67 0 0
10026 235 4 225 0 0
10027 487 6 165 28 119
10028 424 4 41 42 0
10029 160 10 204 0 0
