# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 218 6 44 0 0
10001 496 5 409 45 193
10002 233 6 18 39 9
10003 137 10 286 0 0
10004 118 3 226 0 0
10005 370 9 126 24 50
10006 169 9 383 42 18
10007 482 2 190 0 0
10008 27 5 177 4 119
10009 425 10 144 0 0
10010 47 4 179 0 0
10011 43 1 65 26 10
10012 134 1 115 0 0
10013 227 10 272 44 135
10014 447 1 213 0 0
10015 481 10 84 9 70
10016 83 5 479 0 0
10017 326 5 197 11 4
10018 147 7 364 0 0
10019 170 4 183 19 154
10020 64 1 499 0 0
10021 142 6 274 0 0
10022 206 10 447 54 372
10023 255 5 126 0 0
10024 142 5 445 38 106
10025 281 8 174 43 51
10026 85 4 402 0 0
10027 23 2 436 10 422
10028 477 10 15 25 10
10029 4 2 71 0 0
