# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 292 1 75 26 72
10001 44 9 430 0 0
10002 294 8 199 0 0
10003 299 9 287 0 0
10004 404 7 128 12 10
10005 185 2 398 4 19
10006 286 10 144 44 55
10007 290 1 186 0 0
10008 52 8 437 68 293
10009 351 8 127 0 0
10010 240 7 210 63 21
10011 191 7 171 77 112
10012 68 9 417 0 0
10013 462 1 244 49 61
10014 435 6 152 56 90
10015 211 7 303 0 0
10016 273 3 156 0 0
10017 274 7 329 0 0
10018 164 1 255 78 239
10019 2 1 444 60 369
10020 120 10 199 29 147
10021 446 3 37 0 0
10022 387 2 487 0 0
10023 10 4 262 10 158
10024 489 10 376 0 0
10025 107 7 4 0 0
10026 182 7 159 8 24
10027 298 1 486 70 1
10028 177 7 37 11 11
10029 97 3 89 0 0
