# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 371 4 151 0 0
10001 402 9 307 75 160
10002 39 6 452 73 369
10003 387 9 236 67 154
10004 403 5 167 44 131
10005 240 5 224 72 51
10006 370 3 420 85 222
10007 359 6 431 85 276
10008 453 1 390 0 0
10009 189 5 157 96 53
10010 5 1 139 0 0
10011 237 6 483 18 61
10012 304 1 216 0 0
10013 160 1 130 0 0
10014 24 5 239 79 56
10015 42 9 56 45 27
10016 457 4 207 28 27
10017 373 8 240 40 9
10018 2 3 85 0 0
10019 59 5 160 0 0
10020 231 7 100 0 0
10021 248 3 265 16 212
10022 15 10 473 0 0
10023 276 2 311 0 0
10024 423 2 404 83 97
10025 400 1 321 14 243
10026 415 1 283 37 171
10027 414 4 379 0 0
10028 375 2 98 0 0
10029 75 8 270 69 102
