# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 271 4 477 0 0
10001 218 6 389 0 0
10002 469 9 276 45 220
10003 224 4 270 27 138
10004 252 2 371 15 330
10005 267 4 234 0 0
10006 464 6 256 8 164
10007 242 4 274 0 0
10008 109 4 493 82 316
10009 12 1 295 0 0
10010 284 3 276 0 0
10011 432 8 397 0 0
10012 407 3 16 70 11
10013 177 7 17 0 0
10014 190 4 499 32 108
10015 320 4 143 13 109
10016 321 3 331 0 0
10017 164 8 337 0 0
10018 130 2 480 59 34
10019 420 7 38 0 0
10020 453 3 234 0 0
10021 91 6 439 38 92
10022 488 5 213 0 0
10023 10 7 134 0 0
10024 101 9 402 84 238
10025 365 1 369 0 0
10026 46 8 192 96 167
10027 457 9 182 51 175
10028 302 8 332 61 145
10029 242 10 458 74 48
