# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 437 9 378 0 0
10001 452 9 413 0 0
10002 38 2 248 92 140
10003 134 6 114 29 103
10004 469 10 321 0 0
10005 460 6 333 36 60
10006 411 10 215 0 0
10007 340 9 275 94 238
10008 355 2 445 85 14
10009 429 3 109 69 28
10010 402 5 114 27 42
10011 155 4 283 28 94
10012 314 3 328 0 0
10013 188 1 447 80 291
10014 223 3 344 0 0
10015 500 6 350 83 41
10016 401 4 307 0 0
10017 334 5 51 85 6
10018 320 9 337 60 160
10019 289 3 128 0 0
10020 42 2 150 0 0
10021 363 8 350 0 0
10022 472 5 148 67 27
10023 396 6 409 0 0
10024 201 8 467 98 280
10025 481 10 371 0 0
10026 479 6 450 72 291
10027 472 7 337 0 0
10028 290 6 426 20 236
10029 315 7 431 76 379
