# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 157 2 129 35 40
10001 19 2 403 0 0
10002 468 1 371 70 54
10003 22 4 221 16 5
10004 266 6 218 0 0
10005 411 10 394 0 0
10006 41 6 61 99 2
10007 259 7 497 12 46
10008 282 6 154 32 103
10009 76 5 499 0 0
10010 132 5 496 9 31
10011 283 6 376 31 106
10012 464 3 287 0 0
10013 51 5 115 96 46
10014 379 5 27 92 15
10015 118 5 354 42 109
10016 391 8 192 0 0
10017 231 4 433 0 0
10018 246 2 141 12 28
10019 254 7 158 64 43
10020 287 4 16 0 0
10021 252 2 140 79 81
10022 61 1 290 0 0
10023 208 4 35 0 0
10024 197 10 467 0 0
10025 228 1 319 15 190
10026 127 9 27 15 5
10027 208 10 188 72 144
10028 171 8 131 0 0
10029 217 2 372 20 83
