# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 180 5 205 85 23
10001 169 4 382 48 111
10002 112 9 291 0 0
10003 2 9 11 0 0
10004 39 9 280 0 0
10005 143 8 467 0 0
10006 121 2 241 13 100
10007 166 5 471 0 0
10008 429 1 479 57 135
10009 23 9 290 48 54
10010 22 3 154 0 0
10011 69 2 62 0 0
10012 159 5 386 0 0
10013 231 10 68 0 0
10014 450 7 148 70 45
10015 458 4 482 0 0
10016 280 6 298 97 269
10017 325 8 445 0 0
10018 389 9 287 0 0
10019 71 5 381 0 0
10020 416 1 272 0 0
10021 86 7 7 51 4
10022 357 4 316 31 286
10023 317 1 367 0 0
10024 113 5 486 0 0
10025 118 8 47 93 24
10026 478 5 403 0 0
10027 494 7 449 0 0
10028 325 9 473 45 468
10029 7 9 332 0 0
