# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 175 1 296 0 0
10001 397 9 350 0 0
10002 30 5 462 0 0
10003 226 1 495 25 299
10004 293 1 380 0 0
10005 237 5 60 0 0
10006 401 4 483 29 301
10007 193 3 395 77 118
10008 376 4 61 11 56
10009 373 6 219 7 61
10010 29 10 1 100 0
10011 322 1 117 0 0
10012 448 2 305 0 0
10013 240 1 247 93 96
10014 47 6 416 80 261
10015 372 3 18 0 0
10016 179 5 10 0 0
10017 332 6 475 0 0
10018 58 7 114 0 0
10019 268 3 127 0 0
10020 29 8 469 80 346
10021 210 9 77 94 71
10022 126 2 29 54 8
10023 222 5 16 100 8
10024 421 10 186 61 20
10025 169 4 387 0 0
10026 370 4 411 24 351
10027 259 2 352 0 0
10028 414 6 28 0 0
10029 162 10 237 34 159
