# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 114 8 369 88 232
10001 192 10 1 0 0
10002 149 4 491 0 0
10003 447 2 413 49 31
10004 77 9 402 0 0
10005 163 1 95 13 20
10006 40 10 116 0 0
10007 293 9 278 0 0
10008 81 6 474 96 390
10009 202 5 129 66 38
10010 393 9 435 23 346
10011 483 4 370 0 0
10012 143 3 94 0 0
10013 85 6 330 0 0
10014 15 3 459 57 87
10015 428 3 241 28 141
10016 500 4 38 0 0
10017 382 8 443 43 406
10018 486 4 171 0 0
10019 43 2 408 0 0
10020 396 1 265 0 0
10021 102 7 496 0 0
10022 396 2 442 25 261
10023 16 9 483 32 344
10024 373 2 67 0 0
10025 44 2 330 2 203
10026 210 7 55 0 0
10027 389 1 428 36 295
10028 492 5 273 94 153
10029 500 8 113 0 0
