# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 304 7 340 0 0
10001 28 3 152 63 130
10002 430 2 33 0 0
10003 267 9 277 68 89
10004 464 7 132 0 0
10005 324 7 97 94 92
10006 74 2 422 0 0
10007 401 9 102 0 0
10008 165 9 14 0 0
10009 227 9 438 0 0
10010 300 4 301 0 0
10011 229 1 344 0 0
10012 23 9 215 40 96
10013 30 6 432 0 0
10014 293 3 362 0 0
10015 387 9 409 0 0
10016 427 10 146 0 0
10017 486 2 67 12 56
10018 447 4 494 0 0
10019 2 8 187 0 0
10020 233 7 211 54 133
10021 176 7 107 0 0
10022 424 6 381 0 0
10023 230 9 347 53 121
10024 180 7 158 100 80
10025 90 4 53 0 0
10026 238 8 456 0 0
10027 499 5 310 0 0
10028 451 2 199 79 5
10029 143 5 371 86 230
