# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 240 2 480 45 52
10001 187 7 179 0 0
10002 494 3 316 0 0
10003 178 10 289 82 267
10004 51 9 412 0 0
10005 425 10 67 15 35
10006 426 4 131 0 0
10007 222 8 14 0 0
10008 399 1 290 0 0
10009 77 5 218 0 0
10010 113 3 301 0 0
10011 394 1 277 0 0
10012 40 3 295 46 153
10013 193 7 444 63 150
10014 148 5 362 0 0
10015 138 4 246 0 0
10016 222 9 342 0 0
10017 215 5 339 0 0
10018 151 8 233 0 0
10019 265 5 426 93 93
10020 56 7 355 0 0
10021 21 6 164 93 124
10022 345 2 222 0 0
10023 329 4 318 0 0
10024 38 9 480 0 0
10025 238 8 248 0 0
10026 234 5 142 32 72
10027 306 9 5 0 0
10028 356 1 94 13 81
10029 183 1 460 77 15
