# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 442 8 295 89 286
10001 380 10 324 0 0
10002 361 8 330 0 0
10003 164 3 4 0 0
10004 192 1 354 63 228
10005 11 3 205 51 182
10006 157 7 211 13 117
10007 81 10 98 0 0
10008 430 1 399 95 184
10009 306 4 65 0 0
10010 13 1 458 63 45
10011 477 4 59 99 4
10012 223 10 166 74 7
10013 477 7 310 0 0
10014 132 10 81 0 0
10015 130 6 319 40 80
10016 202 5 27 48 10
10017 190 3 212 0 0
10018 296 6 315 74 69
10019 22 3 11 8 1
10020 267 3 27 73 24
10021 225 10 435 0 0
10022 407 8 422 0 0
10023 155 2 156 0 0
10024 153 6 22 0 0
10025 257 9 232 42 174
10026 408 2 473 67 460
10027 90 7 495 0 0
10028 15 10 222 0 0
10029 195 5 153 61 14
