# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 279 10 476 0 0
10001 419 3 261 17 167
10002 462 6 283 51 69
10003 40 7 185 0 0
10004 206 6 166 0 0
10005 119 3 53 47 43
10006 163 1 471 0 0
10007 23 1 207 16 73
10008 257 6 39 0 0
10009 12 4 347 44 90
10010 485 10 383 0 0
10011 365 4 114 66 80
10012 284 7 18 0 0
10013 233 3 230 31 73
10014 345 4 255 95 246
10015 68 7 288 80 45
10016 200 3 168 33 65
10017 196 9 87 34 6
10018 430 1 498 0 0
10019 48 10 101 0 0
10020 266 9 474 62 221
10021 11 1 236 45 12
10022 109 3 41 1 26
10023 294 5 406 0 0
10024 453 6 483 34 386
10025 258 3 423 7 184
10026 139 4 195 63 9
10027 104 10 198 21 141
10028 284 4 16 0 0
10029 77 3 379 0 0
