# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 30 1 317 0 0
10001 341 2 148 0 0
10002 464 2 441 20 244
10003 494 6 472 43 27
10004 390 4 286 0 0
10005 60 5 373 87 53
10006 5 5 173 0 0
10007 424 4 479 16 202
10008 453 7 431 0 0
10009 305 10 299 0 0
10010 408 3 17 0 0
10011 81 3 241 0 0
10012 398 8 477 93 122
10013 28 10 127 0 0
10014 496 1 426 0 0
10015 329 1 131 12 72
10016 92 3 379 33 115
10017 145 5 209 27 73
10018 112 7 398 0 0
10019 29 6 79 0 0
10020 51 8 406 29 254
10021 350 5 125 13 54
10022 403 6 56 0 0
10023 326 5 52 0 0
10024 347 4 368 62 196
10025 402 9 441 0 0
10026 371 9 21 88 13
10027 430 2 279 0 0
10028 288 5 193 0 0
10029 466 5 375 0 0
