# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 3 2 215 0 0
10001 185 9 57 0 0
10002 1 5 174 70 147
10003 406 9 97 94 89
10004 131 2 200 0 0
10005 382 10 190 0 0
10006 154 9 413 41 26
10007 476 1 194 28 43
10008 306 3 140 0 0
10009 406 4 351 49 297
10010 116 6 467 8 422
10011 38 9 221 21 79
10012 388 5 21 0 0
10013 497 7 173 0 0
10014 265 5 375 48 361
10015 29 9 290 0 0
10016 475 3 288 0 0
10017 20 8 115 0 0
10018 390 6 27 6 17
10019 468 7 212 39 152
10020 195 9 453 86 301
10021 276 6 108 0 0
10022 131 1 325 31 82
10023 332 7 246 3 50
10024 115 7 302 0 0
10025 377 4 60 0 0
10026 160 3 219 86 69
10027 154 10 156 0 0
10028 281 10 136 0 0
10029 380 7 216 0 0
