# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 45 9 370 0 0
10001 473 8 139 0 0
10002 327 8 365 0 0
10003 328 4 113 0 0
10004 406 10 247 0 0
10005 448 2 265 0 0
10006 462 5 499 0 0
10007 184 10 76 45 8
10008 313 4 408 0 0
10009 257 5 195 0 0
10010 13 3 464 0 0
10011 90 8 139 54 91
10012 342 5 434 73 129
10013 223 7 486 19 365
10014 175 5 24 6 7
10015 157 3 153 0 0
10016 174 1 323 75 322
10017 199 2 436 63 158
10018 342 9 184 80 77
10019 294 2 280 0 0
10020 499 7 164 0 0
10021 134 6 131 0 0
10022 399 4 195 90 131
10023 405 3 113 0 0
10024 160 5 20 0 0
10025 24 8 214 4 209
10026 398 6 232 0 0
10027 355 1 223 0 0
10028 393 8 48 0 0
10029 141 1 393 0 0
