# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 398 2 472 0 0
10001 338 8 98 0 0
10002 431 6 469 0 0
10003 307 3 217 49 88
10004 343 3 470 0 0
10005 103 4 354 29 265
10006 63 6 35 57 30
10007 362 4 213 0 0
10008 459 1 84 91 79
10009 116 1 168 0 0
10010 227 8 16 28 9
10011 325 2 426 23 389
10012 143 2 483 36 246
10013 107 7 491 61 435
10014 397 1 392 21 286
10015 286 8 167 8 52
10016 222 1 476 18 36
10017 46 6 349 92 112
10018 475 10 16 27 3
10019 320 3 478 49 395
10020 375 8 102 0 0
10021 280 10 67 99 22
10022 62 10 38 0 0
10023 398 4 425 0 0
10024 433 7 357 0 0
10025 365 6 430 0 0
10026 335 5 172 31 111
10027 150 4 270 0 0
10028 288 6 320 0 0
10029 444 2 224 25 22
